dis,date,jv number,jv,credit,debit
دفعة للتوريدات 4600+500,2024-03-04,2024651,Payments,0.0,5100.0
نصيب التوريدات من رول الاستور,2024-03-07,2024670,Payments,0.0,1450.0
رول سي ار,2024-03-08,2024346,G.Ledger,0.0,220.0
دفعة لشمسير من الاستور,2024-03-09,2024370,G.Ledger,0.0,100.0
دفعة لشامسير,2024-03-09,2024711,Payments,0.0,200.0
رول سبار,2024-03-10,2024371,G.Ledger,0.0,200.0
اكياس جنة بلدنا,2024-03-10,2024371,G.Ledger,0.0,100.0
رول سي ار,2024-03-12,2024375,G.Ledger,0.0,200.0
دفعة لشمسير من الاستور,2024-03-17,2024427,G.Ledger,0.0,100.0
رول سي ار من الاستور,2024-03-19,2024437,G.Ledger,0.0,200.0
دفعة لشرف من الاستور باقي رواتبه,2024-03-20,2024740,Payments,0.0,1500.0
دفعة لجرين بوينت شهر 2 بشيك رقم 848 تاريخ 17/4,2024-03-29,202436,N.P,0.0,25000.0
